create_timestamp,modify_timestamp,job_id,task_id,instance_num,status_task,plan_cpu,plan_mem,start_timestamp,end_timestamp,machineID,status_instance,seq_no,total_seq_no,real_cpu_max,real_cpu_avg,real_mem_max,real_mem_avg
19811,19828,3213,20344,645,Running,100.0,0.0054047058214479,19811,19828,110.0,Running,1,1,,,,
1909,2102,3476,21287,503,Running,50.0,0.0104625579168068,1909,2102,492.0,Running,1,1,,,,
7431,7790,3528,21492,265,Running,50.0,0.0078637434317811,7431,7790,1014.0,Running,1,1,,,,
7431,7790,3528,21493,3,Running,50.0,0.0080552895193228,7431,7790,408.0,Running,1,1,,,,
7513,7770,3531,21501,399,Running,50.0,0.0084383816944063,7513,7770,94.0,Running,1,1,,,,
7513,7770,3531,21504,439,Running,50.0,0.0133564569150726,7513,7770,401.0,Running,1,1,,,,
7513,7770,3531,21505,539,Running,50.0,0.0133564569150726,7513,7770,691.0,Running,1,1,,,,
626,1227,3790,22604,389,Running,50.0,0.0082105971578702,626,1227,103.0,Running,1,1,,,,
50819,50936,3853,22817,70,Running,50.0,0.0133564569150726,50819,50936,37.0,Running,1,1,,,,
39313,39367,3897,23133,501,Running,50.0,0.0085108585923951,39321,39367,649.0,Running,1,1,,,,
39313,39367,3897,23134,1,Running,50.0,0.0041622447130691,39321,39367,524.0,Running,1,1,,,,
39313,39367,3897,23139,1,Running,50.0,0.0041415370279294,39321,39367,487.0,Running,1,1,,,,
39314,39413,3902,23165,1,Running,50.0,0.0041622447130691,39323,39413,155.0,Running,1,1,,,,
39314,39413,3902,23170,1,Running,50.0,0.0041415370279294,39323,39413,360.0,Running,1,1,,,,
39314,39413,3902,23164,501,Running,50.0,0.0085108585923951,39323,39413,725.0,Running,1,1,,,,
39314,39479,3904,23179,1,Running,50.0,0.0045867522584319,39314,39479,1202.0,Running,1,1,,,,
39314,39479,3904,23184,1,Running,50.0,0.0043227292729014,39314,39479,905.0,Running,1,1,,,,
39412,39415,3957,23607,1,Running,50.0,0.0041415370279294,39412,39415,343.0,Running,1,1,,,,
39412,39415,3957,23606,1,Running,50.0,0.0097170812517795,39412,39415,995.0,Running,1,1,,,,
39412,39415,3957,23603,1,Running,50.0,0.0040897678150803,39413,39415,111.0,Running,1,1,,,,
39412,39415,3957,23604,1,Running,50.0,0.0040794139725105,39413,39415,603.0,Running,1,1,,,,
39412,39415,3957,23605,137,Running,50.0,0.0133564569150726,39413,39415,946.0,Running,1,1,,,,
39412,39415,3957,23602,1,Running,50.0,0.0041622447130691,39412,39415,999.0,Running,1,1,,,,
40212,40351,3981,23761,1,Running,50.0,0.0041415370279294,40212,40351,1009.0,Running,1,1,,,,
40212,40351,3981,23756,1,Running,50.0,0.0041622447130691,40212,40351,331.0,Running,1,1,,,,
40212,40351,3981,23759,283,Running,50.0,0.0133564569150726,40212,40351,37.0,Running,1,1,,,,
40527,40555,4000,23899,1,Running,50.0,0.0080552895193228,40537,40555,884.0,Running,1,1,,,,
40527,40555,4000,23900,1,Running,50.0,0.0042036600833484,40537,40555,757.0,Running,1,1,,,,
40527,40555,4000,23893,315,Running,50.0,0.00822095100044,40537,40555,764.0,Running,1,1,,,,
40527,40555,4000,23897,6,Running,50.0,0.0107058732171977,40537,40555,221.0,Running,1,1,,,,
40527,40555,4000,23898,1,Running,50.0,0.0080552895193228,40537,40555,1212.0,Running,1,1,,,,
42616,42655,4140,24951,1,Running,50.0,0.0041415370279294,42616,42655,544.0,Running,1,1,,,,
42616,42655,4140,24946,1,Running,50.0,0.0041622447130691,42616,42655,480.0,Running,1,1,,,,
42616,42655,4140,24945,501,Running,50.0,0.0085108585923951,42616,42655,145.0,Running,1,1,,,,
44527,44532,4189,25298,1,Running,50.0,0.0041415370279294,44532,44532,507.0,Running,1,1,,,,
44527,44532,4189,25292,501,Running,50.0,0.0085108585923951,44532,44532,,Running,1,1,,,,
45567,45612,4254,25784,1,Running,50.0,0.0080552895193228,45567,45612,504.0,Running,1,1,,,,
